student_id,hours_studied,sleep_hours,attendance_percent,previous_scores,exam_score
S664,10.8,8.7,97.9,77,23.7
S665,1.3,6.0,51.4,61,47.1
S666,5.4,4.1,52.5,45,27.5
S667,1.8,4.4,90.1,89,31.1
S668,1.5,7.3,99.2,88,38.7
S669,2.1,7.5,78.8,73,45.9
S670,8.4,8.2,86.1,83,47.5
S671,8.7,5.2,50.9,85,46.6
S672,5.6,8.6,82.5,48,36.3
S673,8.0,5.5,80.0,57,39.8
S674,8.8,6.7,81.7,52,28.1
S675,10.0,7.7,55.4,94,49.3
S676,3.5,8.5,86.3,64,27.5
S677,12.0,8.2,94.9,84,39.8
S678,4.9,7.2,69.4,91,26.4
S679,6.2,5.1,51.0,69,40.7
S680,8.2,4.1,52.3,75,26.2
S681,4.6,5.8,79.1,78,35.0
S682,10.1,5.8,92.3,63,40.6
S683,6.2,4.4,71.7,91,18.7
S684,9.4,8.9,61.3,78,47.7
S685,5.6,4.7,71.2,58,51.0
S686,8.8,6.6,59.1,47,34.4
S687,9.0,8.7,96.5,43,50.1
S688,2.8,4.7,69.4,94,45.5
S689,7.9,4.3,88.0,90,36.3
S690,8.4,5.8,64.7,71,27.9
S691,11.4,7.1,99.9,62,39.4
S692,5.5,7.8,56.6,55,38.4
S693,6.4,5.8,96.6,58,21.9
S694,6.1,6.1,85.5,46,30.4
S695,10.7,6.3,57.0,51,20.8
S696,6.5,6.5,64.1,57,36.4
S697,1.3,7.5,86.6,46,31.1
S698,3.4,8.0,77.3,46,27.4
S699,11.7,5.7,88.5,50,42.4
S700,3.4,7.5,67.5,85,24.6
S701,7.9,5.9,93.5,82,18.9
S702,8.4,5.3,51.3,43,32.6
S703,6.2,4.6,74.4,67,40.7
S704,1.6,6.0,66.9,59,40.4
S705,9.5,7.5,90.9,70,27.6
S706,7.7,5.6,51.1,46,30.8
S707,1.6,7.6,97.6,73,24.0
S708,7.0,4.3,51.2,59,36.6
S709,11.8,6.0,53.7,40,23.0
S710,9.8,6.6,59.6,49,22.3
S711,6.2,6.2,82.2,60,43.2
S712,7.2,6.0,82.1,73,27.4
S713,10.2,6.8,68.6,75,50.6
S714,6.0,7.5,92.6,41,40.2
S715,1.4,8.8,57.7,43,42.2
S716,3.5,7.3,73.9,79,49.2
S717,10.5,7.6,86.9,58,43.0
S718,3.2,6.7,53.0,90,35.2
S719,6.3,6.9,51.0,80,43.3
S720,4.0,4.1,64.0,63,33.7
S721,1.4,6.3,93.8,72,30.8
S722,4.5,6.7,98.6,52,40.9
S723,9.3,7.4,99.4,88,48.9
S724,11.6,7.0,84.3,69,30.4
S725,3.9,5.4,62.4,60,45.7
S726,11.6,6.8,75.2,41,32.2
S727,7.3,4.9,86.6,70,25.3
S728,9.3,6.6,95.3,50,32.2
S729,6.2,8.3,98.3,64,51.1
S730,4.8,4.5,81.4,45,18.9
S731,2.9,6.5,80.4,95,22.3
S732,6.2,8.4,84.9,47,36.3
S733,3.1,6.2,61.6,48,19.7
S734,8.4,8.6,68.0,58,35.0
S735,8.9,5.5,53.5,59,31.3
S736,11.0,9.0,65.5,64,28.7
S737,9.2,5.9,55.9,84,18.7
S738,3.5,7.1,57.6,86,47.0
S739,10.2,5.4,68.2,40,50.6
S740,9.8,7.1,52.6,94,44.3
S741,3.3,4.4,80.4,56,27.9
S742,5.1,4.4,99.1,81,39.9
S743,2.3,4.5,65.2,52,25.5
S744,9.7,8.3,95.0,82,49.4
S745,3.9,7.3,73.8,61,44.7
S746,4.0,7.0,80.8,43,44.4
S747,11.3,5.2,76.8,58,23.5
S748,8.6,5.5,68.4,43,22.5
S749,8.9,8.3,95.8,66,42.5
S750,8.0,4.9,67.2,77,20.2
S751,10.6,8.4,92.5,54,41.0
S752,3.7,7.4,72.6,46,47.1
S753,4.8,8.3,76.0,49,40.7
S754,4.2,8.5,81.4,74,49.2
S755,3.9,4.4,87.7,92,32.9
S756,3.2,6.8,92.9,46,19.8
S757,9.6,8.2,98.2,51,37.7
S758,10.6,4.5,59.3,90,37.4
S759,7.7,4.2,57.0,91,32.0
S760,9.9,6.2,60.7,93,46.3
S761,10.7,4.1,59.5,58,19.7
S762,6.5,4.2,79.7,56,27.9
S763,1.3,5.7,82.2,40,44.4
S764,3.2,4.8,69.8,88,51.5
S765,9.7,5.5,98.7,54,41.7
S766,10.7,8.8,85.1,81,20.4
S767,9.3,5.4,64.8,62,31.8
S768,7.0,6.7,54.6,76,45.2
S769,3.1,8.9,90.1,51,33.1
S770,2.6,6.6,80.4,70,33.4
S771,10.1,8.4,90.5,41,45.7
S772,9.8,4.5,94.0,57,19.6
S773,9.5,4.1,64.7,74,32.8
S774,3.8,6.5,97.7,87,46.3
S775,11.1,4.8,65.9,59,39.9
S776,11.0,4.9,71.0,86,41.2
S777,1.4,6.4,71.8,64,38.5
S778,10.7,6.3,92.1,66,29.0
S779,10.5,7.5,68.6,84,46.5
S780,6.5,4.3,75.3,48,21.6
S781,3.3,5.8,77.0,57,20.7
S782,8.7,5.0,78.6,80,50.2
S783,10.6,6.6,70.7,75,24.2
S784,10.9,4.4,57.0,86,29.9
S785,6.9,5.7,89.5,80,43.2
S786,6.3,6.2,90.8,48,37.8
S787,11.9,8.7,93.7,57,28.8
S788,7.6,7.6,52.1,93,33.7
S789,11.7,5.4,77.7,82,39.2
S790,4.4,4.7,55.9,63,43.7
S791,4.7,8.7,93.9,71,44.5
S792,1.9,8.9,84.0,92,45.9
S793,11.9,4.8,84.6,84,20.0
S794,8.6,8.9,69.5,44,28.5
S795,4.0,5.1,64.5,46,21.8
S796,9.0,6.8,99.5,64,34.5
S797,3.0,7.2,99.9,44,33.4
S798,11.8,7.3,64.5,49,23.9
S799,5.6,7.5,74.6,49,41.9
S800,5.2,6.0,58.2,72,24.3
S801,2.3,4.5,61.2,55,47.7
S802,4.8,5.7,70.5,70,24.7
S803,4.3,5.2,94.5,83,26.2
S804,1.4,7.8,73.9,45,48.1
S805,8.0,6.5,71.7,75,25.1
S806,1.1,7.9,67.5,47,20.9
S807,6.8,4.4,65.9,48,40.5
S808,9.5,4.8,89.1,55,28.8
S809,10.3,4.2,51.9,90,28.1
S810,1.3,5.7,51.7,89,46.2
S811,3.5,4.9,69.3,61,48.4
S812,11.0,5.5,71.5,49,30.4
S813,9.4,8.4,61.9,73,36.2
S814,1.2,7.6,74.6,93,43.2
S815,11.0,6.0,78.7,69,45.0
S816,11.3,7.7,66.6,91,33.2
S817,11.4,6.2,53.4,67,19.0
S818,9.8,5.9,88.1,90,46.5
S819,7.9,6.7,89.5,59,22.0
S820,6.5,5.0,97.5,91,25.3
S821,2.8,7.9,98.5,56,20.2
S822,6.0,5.0,74.1,61,24.1
S823,9.4,7.0,86.0,57,29.5
S824,5.3,6.1,85.1,64,38.4
S825,6.3,6.1,87.5,46,23.6
S826,5.7,4.3,90.2,66,44.9
S827,9.8,5.0,56.2,94,40.7
S828,9.1,5.3,91.6,42,41.4
S829,6.9,4.6,84.4,76,34.1
S830,10.8,4.3,76.1,76,18.7
S831,6.5,4.2,89.3,94,46.5
S832,8.5,8.7,57.1,95,42.4
S833,5.1,5.0,79.0,49,22.0
S834,8.8,7.3,54.2,87,21.4
S835,9.2,6.9,88.9,44,27.7
S836,3.2,5.1,59.5,70,30.8
S837,9.1,7.3,68.2,53,22.1
S838,9.9,7.3,93.0,65,30.8
S839,1.5,7.6,52.8,94,27.5
S840,9.0,4.3,61.5,50,32.2
S841,5.1,5.3,99.2,87,41.8
S842,2.6,6.5,95.7,54,28.8
S843,11.5,8.3,54.8,66,24.6
S844,6.6,8.4,76.9,57,24.7
S845,7.9,5.8,76.5,68,23.5
S846,1.9,7.7,70.7,63,35.5
S847,5.6,7.2,90.5,46,30.9
S848,6.4,5.9,98.1,43,32.9
S849,4.7,6.8,66.9,79,34.5
S850,5.6,6.9,62.4,63,49.0
S851,8.9,7.7,78.9,47,48.8
S852,2.9,8.4,98.6,65,18.4
S853,3.6,6.7,66.1,57,36.2
S854,10.7,8.6,61.6,89,18.4
S855,8.6,7.4,95.0,85,49.4
S856,5.2,6.3,54.8,76,24.8
S857,3.9,8.9,53.3,64,30.3
S858,8.1,5.4,51.0,60,33.0
S859,3.4,6.6,76.8,86,26.7
S860,9.4,4.4,83.2,41,33.2
S861,7.6,8.3,80.4,58,24.8
S862,8.1,7.5,68.3,85,32.1
S863,3.4,8.9,76.0,59,19.9
S864,11.6,5.5,74.5,72,24.4
S865,7.8,6.4,61.5,41,45.2
S866,10.8,7.4,76.9,95,23.3
S867,9.6,7.2,91.5,82,48.3
S868,6.0,8.7,94.5,41,50.4
S869,9.2,8.6,82.4,86,20.9
S870,6.5,4.4,77.6,53,43.2
S871,7.1,5.3,99.6,46,35.3
S872,4.8,7.4,89.0,92,21.5
S873,7.5,8.3,95.2,63,43.1
S874,6.1,7.9,96.5,40,45.3
S875,10.5,4.9,58.1,45,26.5
S876,4.1,5.8,90.8,48,25.8
S877,7.8,4.8,96.1,77,49.5
S878,10.9,5.7,77.5,93,26.2
S879,6.9,4.7,92.2,88,41.8
S880,11.3,4.9,62.2,57,50.0
S881,11.6,8.2,64.9,79,30.2
S882,8.9,6.7,63.9,85,35.7
S883,8.6,8.9,67.4,58,26.5
S884,6.7,4.8,63.3,51,25.7
S885,7.2,6.6,55.4,61,18.9
S886,8.9,4.9,52.4,53,19.7
S887,10.3,5.4,77.8,74,37.0
S888,10.2,8.9,68.2,43,23.3
S889,7.2,7.0,63.5,71,43.2
S890,3.7,7.9,86.6,90,18.5
S891,2.7,6.4,75.0,52,39.9
S892,7.3,4.6,68.7,84,44.1
S893,8.8,8.4,51.6,67,39.6
S894,6.1,4.2,75.9,52,41.7
S895,8.6,8.8,58.0,82,43.3
S896,2.3,5.5,69.0,91,26.4
S897,8.8,6.5,79.4,84,38.8
S898,1.3,6.2,94.3,89,37.7
S899,1.6,6.7,59.9,90,37.9
S900,8.9,4.2,66.1,51,32.8
S901,10.5,8.2,80.9,46,41.1
S902,4.6,5.8,65.9,48,25.3
S903,3.0,4.3,89.3,73,49.2
S904,6.2,5.9,93.7,61,31.0
S905,7.6,7.7,54.7,74,41.8
S906,10.8,7.2,63.7,92,21.8
S907,3.9,5.5,81.0,59,29.4
S908,2.6,6.7,88.0,79,22.7
S909,5.8,7.6,59.0,66,50.3
S910,10.5,6.3,65.3,78,32.4
S911,8.7,6.9,93.6,86,51.7
S912,5.4,7.8,88.5,58,29.1
S913,9.3,5.8,76.2,80,40.4
S914,6.1,7.6,56.2,70,29.8
S915,8.1,8.7,67.7,41,29.3
S916,5.4,7.6,70.0,72,48.5
S917,3.8,6.4,97.6,86,41.7
S918,2.3,7.0,63.5,57,34.3
S919,9.6,6.3,97.9,83,29.4
S920,5.5,7.7,72.2,74,23.4
S921,5.4,4.4,71.6,43,24.9
S922,1.9,5.6,94.8,82,34.9
S923,2.6,8.8,56.0,93,33.7
S924,7.6,5.4,93.1,61,23.3
S925,9.4,6.8,87.7,49,18.0
S926,1.7,5.2,57.6,69,39.0
S927,6.6,7.2,77.0,73,49.9
S928,4.1,5.2,84.5,42,29.0
S929,8.9,8.5,54.6,55,41.5
S930,8.4,5.3,79.2,55,47.3
S931,4.5,8.9,66.1,43,29.8
S932,11.5,8.5,93.8,93,39.6
S933,8.4,4.6,89.0,54,40.7
S934,1.4,6.2,76.3,70,51.6
S935,11.4,4.5,98.9,64,19.6
S936,2.2,7.6,71.5,58,47.3
S937,6.0,5.8,50.6,49,37.0
S938,6.8,6.1,95.6,59,47.5
S939,11.2,5.0,52.9,82,18.5
S940,2.1,4.4,87.3,47,33.9
S941,4.8,6.4,80.8,41,47.2
S942,11.9,5.4,54.4,88,44.8
S943,5.4,8.7,77.2,81,50.1
S944,2.7,7.8,96.7,74,44.9
S945,7.8,7.9,68.4,95,44.4
S946,7.4,7.6,87.7,68,19.0
S947,8.5,7.3,82.0,78,44.5
S948,1.7,7.5,99.2,71,42.0
S949,10.0,7.8,95.6,87,23.1
S950,6.8,6.2,53.4,69,21.7
S951,4.1,5.7,59.3,93,25.7
S952,6.8,7.4,76.1,84,27.7
S953,8.0,8.6,86.5,94,22.5
S954,10.9,4.3,85.0,85,39.4
S955,9.0,6.9,80.4,62,44.2
S956,11.6,6.3,86.6,73,46.4
S957,2.1,6.4,67.0,90,51.3
S958,5.1,8.2,64.5,58,20.3
S959,2.8,4.7,50.7,55,48.4
S960,6.4,8.2,74.3,48,28.0
S961,3.9,4.6,97.2,50,38.3
S962,3.1,8.9,97.2,80,41.9
S963,6.0,6.9,59.2,90,36.3
S964,7.5,4.8,84.1,78,26.0
S965,4.1,4.0,63.8,45,21.2
S966,3.9,7.0,50.4,88,29.3
S967,3.9,5.8,63.7,62,47.0
S968,6.9,6.0,60.8,45,34.3
S969,4.6,5.3,75.4,41,39.1
S970,3.3,5.9,75.3,65,45.8
S971,11.1,4.9,65.3,69,25.8
S972,4.3,7.5,97.7,63,18.9
S973,10.1,5.3,72.7,87,18.4
S974,8.8,8.7,61.6,84,26.9
S975,8.2,7.7,53.3,42,51.0
S976,1.4,8.5,75.1,42,40.7
S977,2.9,7.9,74.9,52,24.4
S978,2.2,6.4,64.9,89,48.7
S979,6.2,8.6,77.5,45,50.1
S980,5.0,4.3,99.3,82,24.8
S981,10.4,8.5,71.1,42,28.5
S982,2.4,4.7,53.0,59,51.7
S983,10.1,8.3,61.5,57,31.8
S984,5.5,6.2,82.8,48,22.5
S985,11.1,4.1,95.8,91,35.8
S986,8.8,4.9,88.8,69,19.8
S987,11.2,9.0,74.7,76,20.3
S988,11.1,7.5,96.9,49,46.1
S989,5.3,5.2,70.9,69,18.6
S990,11.9,5.4,87.7,46,42.1
S991,1.5,6.7,83.2,94,47.9
S992,10.2,8.4,71.3,42,35.8
S993,5.6,6.0,72.2,93,51.7
S994,7.7,7.3,85.9,93,22.6
S995,6.3,7.9,85.3,57,37.9
S996,7.1,5.5,83.4,82,32.9
S997,1.1,7.2,75.2,87,28.7
S998,4.9,4.7,71.5,87,51.6
S999,4.3,7.5,70.9,72,47.6
S1000,5.4,7.6,55.5,72,50.5
